round_epochs,val_loss,val_acc,loss,acc,activation,first_neuron,optimizer,losses,hidden_layers,batch_size,epochs
10,0.6407671741076878,0.6666666524750846,0.4901485945049085,0.7578947308816408,<function linear at 0x7fedd61ae400>,24,Adam,binary_crossentropy,0,30,10
100,0.6754486901419503,0.6904761847995576,0.12906017507377424,1.0,<function relu at 0x7fedd61ae158>,12,Adam,binary_crossentropy,2,20,100
100,0.6133742502757481,0.7142857142857143,0.12272397860100395,1.0,<function relu at 0x7fedd61ae158>,12,Adam,binary_crossentropy,1,20,100
10,0.7040936010224479,0.40476190476190477,0.6454690255616841,0.7684210538864136,<function relu at 0x7fedd61ae158>,12,Adam,binary_crossentropy,2,20,10
10,0.6253991297313145,0.7142857313156128,0.5183653470716978,0.7473684361106471,<function linear at 0x7fedd61ae400>,24,Adam,binary_crossentropy,2,30,10
10,0.6324291683378673,0.6904761847995576,0.47922695153637934,0.7684210632976732,<function linear at 0x7fedd61ae400>,24,Adam,binary_crossentropy,0,20,10
10,0.6860241379056659,0.5,0.6549979573801944,0.6315789489369643,<function relu at 0x7fedd61ae158>,12,Adam,binary_crossentropy,1,30,10
10,0.6067044848487491,0.7380952380952381,0.5433844955343949,0.7789473596372103,<function tanh at 0x7fedd61ae1e0>,24,Adam,binary_crossentropy,2,40,10
10,0.705090460323152,0.49999999432336717,0.7160927621941817,0.45263159196627767,<function relu at 0x7fedd61ae158>,12,Adam,binary_crossentropy,0,40,10
100,0.6320831094469342,0.7142857142857143,0.20124957592863785,0.9578947581742939,<function tanh at 0x7fedd61ae1e0>,12,Adam,binary_crossentropy,1,40,100
10,0.6164759170441401,0.6904761791229248,0.5030753377236818,0.8210526453821283,<function tanh at 0x7fedd61ae1e0>,24,Adam,binary_crossentropy,1,20,10
10,0.649441795689719,0.6190476076943534,0.5871936459290353,0.8105263176717257,<function relu at 0x7fedd61ae158>,24,Adam,binary_crossentropy,2,30,10
100,0.595878657840547,0.7380952153887067,0.1279364377260208,0.9894736942492033,<function linear at 0x7fedd61ae400>,24,Adam,binary_crossentropy,2,40,100
10,0.6997152283078149,0.5714285600753057,0.5965790654483595,0.7052631660511619,<function tanh at 0x7fedd61ae1e0>,12,Adam,binary_crossentropy,2,40,10
10,0.6145475166184562,0.6904761961528233,0.5523459095703928,0.8000000025096693,<function tanh at 0x7fedd61ae1e0>,24,Adam,binary_crossentropy,1,30,10
10,0.6259038221268427,0.666666655313401,0.5313896944648341,0.7894736810734397,<function linear at 0x7fedd61ae400>,24,Adam,binary_crossentropy,0,40,10
10,0.6945084418569293,0.6428571513720921,0.5953184460338793,0.7052631542870873,<function linear at 0x7fedd61ae400>,12,Adam,binary_crossentropy,0,30,10
100,0.6270031645184472,0.6904761847995576,0.1281864721524088,0.9894736848379436,<function tanh at 0x7fedd61ae1e0>,12,Adam,binary_crossentropy,0,20,100
100,0.6123430218015399,0.7142857313156128,0.1153247312299515,1.0,<function relu at 0x7fedd61ae158>,24,Adam,binary_crossentropy,0,30,100
100,0.63752091498602,0.6904761847995576,0.13841333122629867,0.989473681700857,<function tanh at 0x7fedd61ae1e0>,12,Adam,binary_crossentropy,2,20,100
100,0.6371233349754697,0.7142857142857143,0.23312733989012868,0.9473684367380644,<function relu at 0x7fedd61ae158>,12,Adam,binary_crossentropy,1,40,100
100,0.579767508166177,0.7857142771993365,0.12488403798718202,0.989473675426684,<function relu at 0x7fedd61ae158>,24,Adam,binary_crossentropy,2,30,100
10,0.6822283353124347,0.6666666524750846,0.5134945825526589,0.7473684266993874,<function tanh at 0x7fedd61ae1e0>,24,Adam,binary_crossentropy,2,30,10
100,0.6080582652773175,0.7380952324186053,0.22113674251656784,0.9263157844543457,<function relu at 0x7fedd61ae158>,12,Adam,binary_crossentropy,0,30,100
100,0.6140901474725633,0.6904762131827218,0.07211611478736527,1.0,<function tanh at 0x7fedd61ae1e0>,24,Adam,binary_crossentropy,0,20,100
100,0.6811064566884723,0.7142857313156128,0.20345212597596019,0.9473684241897181,<function linear at 0x7fedd61ae400>,12,Adam,binary_crossentropy,0,30,100
10,0.6783121881030855,0.666666655313401,0.5289417536635148,0.7684210538864136,<function tanh at 0x7fedd61ae1e0>,24,Adam,binary_crossentropy,0,40,10
100,0.6026935350327265,0.78571427436102,0.21587489545345306,0.9789473884984067,<function relu at 0x7fedd61ae158>,12,Adam,binary_crossentropy,2,40,100
10,0.6491848230361938,0.6666666524750846,0.6132004072791651,0.7052631754624216,<function relu at 0x7fedd61ae158>,12,Adam,binary_crossentropy,2,30,10
10,0.6872534496443612,0.523809518132891,0.6414930193047774,0.757894732450184,<function relu at 0x7fedd61ae158>,24,Adam,binary_crossentropy,1,30,10
100,0.6734769855226789,0.6428571513720921,0.10416564698282041,0.989473675426684,<function linear at 0x7fedd61ae400>,24,Adam,binary_crossentropy,2,30,100
100,0.6407519153186253,0.6904761961528233,0.19634710487566495,0.9684210451025712,<function relu at 0x7fedd61ae158>,12,Adam,binary_crossentropy,2,30,100
100,0.6744730188733056,0.7142857142857143,0.11697602370067646,1.0,<function linear at 0x7fedd61ae400>,12,Adam,binary_crossentropy,1,20,100
100,0.6255066110974267,0.7142857142857143,0.12345900739494123,1.0,<function linear at 0x7fedd61ae400>,24,Adam,binary_crossentropy,0,40,100
100,0.5910263856252035,0.7142857369922456,0.12607850918644353,1.0,<function linear at 0x7fedd61ae400>,24,Adam,binary_crossentropy,1,40,100
